StatusHistoryId,LeadId,FromStatus,ToStatus,ChangedAtUtc,ChangedByUserName,DaysInPreviousStage
dbc9ad33-109a-415b-ac0f-25e0388bfa7b,04b183f7-8f1f-4a7a-b6a4-93a09bd8b740,Prospect,AdmissionDone,2025-11-10 00:04:51,Abhimanyu Sandal,17
9a6b4343-208a-4cba-bc56-c64b3ebd4ac6,26299aab-9221-4ed0-9a24-6ee08e59b1a8,FirstCall,RNR,2026-01-22 09:06:53,Gaurav Suri,1
8e115f7c-fc5b-466f-8910-83ee84fd2ec1,61286364-0df7-4c27-b4bd-4fc9cf29fd15,SecondCall,AdmissionDone,2026-01-23 22:05:11,Tarak Dyal,9
29452f05-c52c-4fde-9c8e-58b9e46628ef,34a52cd6-1e16-4a02-84aa-0370f0d044a3,SecondCall,AdmissionDone,2026-08-01 01:59:49,Lipika Kala,15
7b784f63-819f-47e2-8787-7e90a45efdb6,0ff3bf71-0a42-4f13-ae40-3fe2856988b1,Prospect,AdmissionDone,2025-11-21 13:03:57,Riya Goel,21
500c5f40-e45d-4ca7-85ba-900a128a0a64,7cfa81fe-3b16-4025-8637-a5057afd7423,,New,2026-08-17 04:38:24,Max Shenoy,0
2e0a1313-2543-490d-873b-689ced15469a,e89af70a-3fcf-4202-af68-92ec7a4edf61,CNC,NotInterested,2026-04-01 22:43:24,Riya Goel,7
76bb3763-296d-487c-88e7-0c9cf345eafb,e0369e3b-8a8c-4d90-90bb-f519b3f5f146,ThirdCall,AdmissionDone,2026-04-10 13:08:50,Tarak Prakash,8
13c38c89-850e-4a84-83e0-3e49d0b08ab8,bbd7ccf8-32c3-49dc-9fb3-2ff067241c7c,Interested,AdmissionDone,2026-05-30 13:59:22,Lipika Kala,12
1aab3fcf-8540-4f80-b668-cb7c7dd0809a,1151880e-bf6e-40fc-926e-ee3994652319,Interested,AdmissionDone,2025-09-12 16:15:19,Zilmil Hora,8
362f9585-b52a-42fa-8661-ad756b0461d1,ad2d001f-a9a1-4db0-b65d-a1384c503746,SecondCall,AdmissionDone,2026-08-21 17:55:27,Gaurav Suri,1
0fe0feaa-1ccf-492e-84e2-79dc06c067c6,6a663129-daf1-4c3c-8773-21dc3a0ab0f2,Interested,Lost,2026-08-18 19:40:30,Lipika Kala,9
bd03b27f-15e8-4acd-97c0-df928de23625,b75bef3e-02b0-474e-83b2-2aaf8183bc32,SecondCall,AdmissionDone,2025-09-21 06:00:33,Dayita Ahluwalia,9
7d97da83-83eb-4318-b913-750588cb02fa,d73afbf6-c0bf-471b-a72e-b512e7cb4fed,Prospect,AdmissionDone,2026-03-14 07:18:26,Victor Kothari,18
48650896-9252-437c-820f-1b40c0d1f233,48f6713b-bb37-45f1-bc8b-0974fe5cb347,Interested,AdmissionDone,2026-02-25 19:22:50,Zayan Rajagopal,8
fccc33db-6b7f-486e-bd08-8f18df20611e,e29907e7-4b61-4732-bcd6-2be6beecb509,New,Invalid,2026-04-01 22:37:40,Gaurav Suri,15
ae036482-04f7-48a1-a674-71a41127ff5c,815c0720-012b-49a0-80b7-d3c04b562e53,Prospect,Lost,2026-06-22 20:39:08,Finn Sandal,15
293c0f66-9e58-42a0-901e-8f6291d13bb3,b3fa86d8-0b72-468a-a9a5-afa41c5ed27f,FutureProspect,SecondCall,2025-11-25 07:45:26,Gabriel Dhar,4
6d77c2d2-0aa0-4642-b1e1-a95f085afb57,51965a74-99e2-4d36-a568-e9f4b1be5384,Prospect,FutureProspect,2026-03-29 15:12:47,Yahvi Goda,18
9058d566-f469-4ae1-bcf4-0ed53af79660,aed25658-0d51-4009-9ae4-15a15a50fc37,Prospect,AdmissionDone,2026-08-09 13:46:00,Tarak Dyal,13
a59d9d5c-28a5-42e8-9050-fae2ca38b42c,8e4f1857-16b1-4916-b3c0-45342bd73b0f,ThirdCall,AdmissionDone,2026-04-08 07:50:46,Tarak Dyal,12
c01d3a47-8c79-42bb-bba2-20cb6b67d8aa,b3d5cb6f-2183-47dc-9270-756246fb2e9b,Prospect,AdmissionDone,2026-03-28 16:36:10,Tarak Prakash,3
7a4be00a-a50b-479d-b217-079630a2f3de,44fc177c-d4da-4c2d-bd47-e7ff77274f68,CNC,Lost,2026-04-03 15:30:35,Faris Shere,11
491720c0-15c9-4dc4-9d68-a796134f5810,79b82b50-987f-49d3-8261-864a4af828ec,Interested,AdmissionDone,2026-01-24 20:13:56,Balhaar Choudhary,15
0f6d71e5-f78d-4940-9816-1d4f44185732,c3195cff-654a-4b2a-8c50-8060489adb10,SecondCall,AdmissionDone,2025-11-30 10:26:05,Kiaan Chadha,14
f79ba763-a884-4eb6-9157-6904cea28701,7ffd0c8c-9f44-4429-8a41-5f3383db7e6d,Interested,AdmissionDone,2025-10-05 20:25:20,Diya Rau,14
999308d8-5a62-46e8-bb1c-dc51eef00834,7b0df98d-309e-4548-8b8e-bb2852a0d67c,Prospect,AdmissionDone,2025-10-07 09:46:38,Tarak Dyal,9
40a81bf6-7c90-4814-8912-9b0d5f5e9e7c,f9a5de19-ab70-478d-8878-5d2672a413d3,Prospect,AdmissionDone,2026-08-22 14:43:49,Dayita Ahluwalia,5
e18e19d3-4cf3-4312-aefa-402b1ce8d760,2f9cc584-ef6e-4b69-aed9-ab47ac4aeb91,Prospect,AdmissionDone,2026-05-05 04:23:55,Samar Patil,20
3eb49a81-8bc9-46c9-81df-e44ba5ad3468,0d2a2aea-0329-46ef-bdc2-eb8929249191,ThirdCall,AdmissionDone,2026-02-09 13:45:29,Kiaan Chadha,11
3442e1fb-0cc3-4308-b43d-4f1791daeb29,ad25a531-dad2-49f1-be94-8811f1bbe2f1,RNR,CNC,2025-11-21 06:15:43,Riya Goel,21
c765d1ac-eab5-42f6-8587-dc327f831ec2,a555208d-f9b4-4858-892f-f02818ac32e5,Prospect,AdmissionDone,2026-03-07 16:36:59,Ryan Gola,11
04c6dcb4-13ed-4d1e-95f0-a5d04b3d8d35,f6ef2d13-b00e-4173-bbc2-184369aef881,Interested,Prospect,2025-11-07 19:29:09,Turvi Behl,5
2fd01832-6467-40fa-bee5-01d0968ff220,9d355497-c166-4d99-9abc-1c1f25f07697,New,FirstCall,2026-01-29 08:36:10,Praneel Nigam,8
f9dc3b0a-6c3b-43df-9444-a56870534118,908c1483-4eb0-4825-b97d-71c5cbe4c3c2,Prospect,AdmissionDone,2026-04-04 01:27:29,Zayan Rajagopal,2
4660f1a7-879e-4794-837f-d5db165c3e1d,9f3d853f-b54e-49a4-85e1-2335b9cc82d4,Interested,AdmissionDone,2025-10-12 06:45:19,Gaurav Suri,20
9b979241-a826-4d61-b874-dd767e2b8401,1391e22f-d72c-4c04-a03c-1c0643bb9811,Interested,AdmissionDone,2026-05-12 01:37:43,Lipika Kala,6
478ea03c-f6e3-4033-8375-3c7947d8dd2a,d4060bc1-c3d0-4c01-a9aa-d961711af79f,Interested,AdmissionDone,2025-09-23 06:55:22,Diya Rau,19
0cf82bcf-3eb5-4a92-a9aa-489182a444c0,1487bd86-4961-4257-ae0d-bac4aa104b09,ThirdCall,AdmissionDone,2026-06-27 16:44:40,Finn Sandal,21
93c1bb2b-88b8-4b10-9498-3e19972fe68d,6e1af58d-0112-4842-9ce9-7d6be00de009,ThirdCall,AdmissionDone,2026-02-15 13:37:50,Faris Shere,3
b4c4a5d0-630c-45fb-86d9-655a6288028c,3b38cdf3-caeb-467a-8269-e1484ceefe4b,FutureProspect,SecondCall,2026-04-13 04:14:25,Gabriel Dhar,4
4286a2b9-ef4a-4e3e-a246-7e5296ca3d45,4ee50d06-6d40-4cd7-98ef-0322dc0f76da,Interested,AdmissionDone,2026-06-28 13:01:19,Fitan Wadhwa,15
4cfc7e4b-7f09-48b7-8e65-c1e51cd7160b,8c883a18-c7da-4b54-a920-77459fac8af0,ThirdCall,AdmissionDone,2026-04-06 06:51:08,Tarak Prakash,1
fb015091-427d-41e1-a68b-c3bfbd952b96,a28cfc35-5919-46ac-8103-93095ab48f2a,Interested,AdmissionDone,2025-12-26 17:10:31,Praneel Nigam,13
97270c00-cafc-47ec-8e1f-2b876eb93f2a,7108b7d7-b698-410a-aff7-4a4b2d82e772,ThirdCall,AdmissionDone,2026-08-19 07:43:29,Max Shenoy,12
e63c5fe1-6005-4485-b1e8-2f2dc81423ac,1b532aa5-7c33-4537-a73a-e61403e82736,RNR,NotInterested,2026-06-04 07:42:06,Brijesh Luthra,15
bbac0647-e9a5-4e2f-acbf-5b84b9034415,0a519945-a761-4baa-b98c-b6b84fffe108,ThirdCall,AdmissionDone,2026-07-05 19:49:46,Lipika Kala,14
2db6677d-9e89-4f1f-811e-8e9529dfa103,208304d0-0491-4c08-918f-5178ae569f68,Prospect,AdmissionDone,2026-06-24 11:55:56,Netra Rai,6
866e3391-18d4-45a8-8703-b4555722603a,f754f910-03b5-4576-a691-d70fbaaf8f8f,ThirdCall,AdmissionDone,2026-08-27 00:00:00,Arin Garg,20
607b94fc-f907-439a-8ad6-b9f49d5c8faa,20c8e73c-7ccb-43d3-afc7-f79877e25cf6,Interested,AdmissionDone,2026-06-29 01:22:25,Praneel Nigam,5
44c16365-8d45-4e91-87bc-84a8854d1d68,2f051c96-b082-40bf-a465-c964bafc4729,Interested,AdmissionDone,2026-06-25 09:27:10,Faris Shere,21
1aa9d222-1e6a-4418-863d-489a2c87b62d,32f939ed-3050-446d-8495-de3d55622ab3,Prospect,AdmissionDone,2026-01-07 06:42:02,Gagan Singh,11
9dddfc97-def7-4179-944e-1787fb1f77c5,744a464b-eb4f-4fa6-b61a-51e902183e29,CNC,NotInterested,2026-05-05 12:47:40,Dayita Ahluwalia,15
61ba00f6-26f0-4f5d-9f49-5d2fdec7cd38,157b94be-a736-4416-9826-f62ef17a7cc8,ThirdCall,AdmissionDone,2026-03-29 07:54:39,Praneel Nigam,12
16e641c9-4f94-41ef-baca-e446bd8c79bc,6ab1995c-bfbc-4e10-a1ec-d6c7a28e31a7,New,FirstCall,2025-09-14 16:53:55,Ryan Gola,6
8f69de21-5581-4f95-a30c-33b8f22b7a86,f89606ba-4fd1-45fc-9646-f5f2ae7c07b2,SecondCall,AdmissionDone,2025-11-02 08:53:41,Finn Sandal,2
451a3ba1-a216-4cde-accd-0eb43b65642c,58a52b25-4052-4876-be1e-c6029c9a64b1,ThirdCall,AdmissionDone,2026-08-23 23:56:48,Tarak Dyal,8
290b4298-5bdb-47b6-a515-242933641bf8,e48fb8de-8489-4205-b611-886ef0303996,Prospect,AdmissionDone,2025-10-29 03:11:23,Arin Garg,10
7b4c5178-5701-4478-8557-55962490ba6e,19e4c327-32b8-446a-a7b1-73cff6cdfcb3,ThirdCall,AdmissionDone,2026-05-28 08:02:11,Ishita Dayal,9
af4d3101-d122-43a5-a234-7609a777a53b,fca9a373-8fca-4acf-9d27-75ac2a52feb2,Prospect,AdmissionDone,2026-07-31 11:28:34,Gabriel Dhar,9
5f367dea-5446-447b-97c8-0c556a379df4,bfb399ff-05de-4e71-977a-705af40cdd62,ThirdCall,AdmissionDone,2025-11-16 08:45:48,Urvi Saini,20
9f816b30-e1f8-4adf-9def-e130e6a3133b,06873ac6-885d-4d66-874f-523e5067dd63,Interested,AdmissionDone,2026-06-13 01:15:38,Diya Rau,4
a969c741-0c51-4d9d-8014-ba9eb1d9895b,8cc054e9-879b-4b82-bc46-3d387a4bc978,ThirdCall,AdmissionDone,2025-11-24 17:49:11,Ishita Dayal,7
af41e32d-15bd-44e0-92e4-fae9a1cafe1a,f534593d-1aeb-4a1e-8df2-760d1729384f,Prospect,AdmissionDone,2025-10-23 09:28:04,Samar Patil,5
aa71defe-a774-4569-948f-f625e6887ac5,fccd6777-d388-4712-bb08-59916d2ec74d,Prospect,AdmissionDone,2026-01-16 00:27:02,Lipika Kala,12
f8914668-e82d-4220-b6ca-b891bd20e270,bd9fe8f9-f6cc-4d5a-8fd1-4de527a2ca11,RNR,Lost,2025-12-23 11:02:42,Yahvi Goda,4
6b39f59a-d490-401e-bdab-b5415469fba3,4ce6e7ec-b24a-42fd-832d-9117404a1d82,Prospect,AdmissionDone,2026-07-04 17:06:10,Turvi Behl,16
e4b0837e-86fa-42be-9fc8-5527b4403d92,e5c858df-27ec-42f5-85f3-925e4699c827,SecondCall,AdmissionDone,2026-04-01 21:00:00,Gagan Singh,19
8e8d1bd2-2547-4fd3-b112-01e99caab1a5,cc995fee-886c-45c6-8e12-4b9cd07de945,ThirdCall,AdmissionDone,2026-04-06 02:27:14,Ryan Sama,21
886c876c-cbb1-4e6a-91d5-4429f6e9a308,9e9c0226-2c7e-4025-8157-61056469ca0a,Prospect,AdmissionDone,2026-02-24 22:30:51,Lipika Kala,2
5f261037-e0b4-4e05-89a1-3936aa99050b,a7f51996-acf3-4109-9133-dfe0c073c17d,ThirdCall,AdmissionDone,2025-11-30 14:25:49,Brijesh Luthra,11
3bf3c460-f0cd-49ef-89ee-af27325d2aca,59b61ada-f98a-48b2-a57c-527de8f7e29c,SecondCall,AdmissionDone,2026-01-17 19:36:25,Samar Patil,7
cddf6e31-da52-4996-8d77-1181dd3b116c,bfd868f1-986d-48ea-adef-41e7ca615f97,SecondCall,AdmissionDone,2026-02-05 21:24:32,Turvi Behl,19
77dcf0fd-cec0-4014-ae13-25f6a8b3eadc,3e9364c9-2e8d-4494-990c-d387d726622f,ThirdCall,AdmissionDone,2026-04-28 20:17:46,Diya Rau,15
d84c2b2e-d8d4-466f-a2fb-ff65716e3df6,90540f24-ab91-4906-8c1a-6dc8988b5723,Prospect,AdmissionDone,2025-09-16 03:07:39,Praneel Nigam,7
de05e6e4-90cd-4213-b81c-d6ff9948d1cb,f55b534f-a1e1-4f21-b768-8eb8e89c28a0,Prospect,AdmissionDone,2026-07-25 03:19:00,Victor Kothari,17
eb326ca2-f7a3-4931-8e98-a0d97b0bc649,11cfba97-c7c1-41e6-811d-9f8f29bda819,Prospect,AdmissionDone,2026-02-25 08:21:12,Brijesh Luthra,12
167fe105-6a96-46d4-b41e-b58dd072bd7c,7285e12b-ecbb-4584-a660-00a540e1a0dc,SecondCall,AdmissionDone,2025-11-24 18:29:16,Finn Sandal,3
21710eb0-51ef-4d6d-9d08-f8b3da5de45d,3006ef85-1f4b-4ec8-8e6b-deeb196400c5,RNR,CNC,2025-12-12 20:47:31,Max Shenoy,1
70c032f2-3e0e-4434-9f3a-b8f383b48fc7,6289d718-0a0a-4df9-85f1-c6a3fee3e4f7,Prospect,AdmissionDone,2026-06-29 01:06:02,Lipika Kala,11
16d2458a-5609-4bb0-9e84-df701d598002,9250a786-0805-4d9e-a4bf-d1571fc1d6b0,Prospect,AdmissionDone,2025-11-24 06:38:51,Urvi Saini,16
f2126539-12f1-49bf-88e4-b195c5c575fc,6d3326bb-593a-4401-a083-bb178bc39286,ThirdCall,AdmissionDone,2026-05-02 09:25:53,Kiaan Chadha,4
cc8ddfdc-a8bf-4d64-aa30-11def98a62f7,ecfab647-a2aa-4801-824d-6cee293c3fb0,Interested,AdmissionDone,2026-08-03 06:12:43,Ryan Sama,4
e480607f-a946-4067-9bde-7c030f02acdf,d2fdd685-8cf8-4e71-af3c-51373e030cef,SecondCall,AdmissionDone,2026-03-28 17:01:07,Ryan Gola,8
731fb319-6eb3-4131-8cb6-470137278f0c,6ecbc4f4-7648-4088-942e-1623e11a880d,,New,2026-03-15 05:27:34,Faris Shere,0
8e79888e-623e-4b52-9d7f-c289ce5ba9cd,55551431-cf9a-4d81-9aae-b506609d37e9,Prospect,AdmissionDone,2026-02-01 04:35:40,Zayan Rajagopal,10
9c93f89e-847e-4ed3-a105-47394b773511,9a81d9b0-f420-402d-aa5d-dc8baf9db9de,SecondCall,AdmissionDone,2026-08-27 00:00:00,Faris Shere,6
818d88ff-fdc0-4640-b76d-4bd308be8239,113ff84b-d228-4dc1-aaa8-a88553416807,Interested,AdmissionDone,2025-12-18 01:13:04,Arin Garg,20
7d02ce21-260f-4d08-acd8-3912b0c87a88,12188cbd-acaf-4b67-af3c-f3dd32b95393,Prospect,AdmissionDone,2026-04-04 22:33:04,Gaurav Suri,21
53fc6065-3d99-4470-8807-cb92bdb7c76d,508f8987-2fb5-4151-b432-97cc4c9c074b,FirstCall,NotInterested,2025-12-02 14:26:27,Yahvi Goda,19
7648bd8b-f0a9-464c-8ed2-cf4100b6b7a7,cd5de467-a9aa-4abe-8033-0c69e35832eb,New,Invalid,2025-09-28 09:00:08,Turvi Behl,18
f280661f-fed8-42e1-94c0-f4cf0d9ec511,3241c742-1bc5-4e0f-a8b9-19b3cc0f48e5,New,FirstCall,2025-11-01 19:57:30,Diya Rau,7
9ec7edb8-740f-49a6-8b1f-2df86c037e06,41a57973-511d-4ac2-aa48-aedb522dc76c,Interested,AdmissionDone,2026-01-20 02:33:10,Tarak Dyal,14
c2a1a193-85c6-4636-9661-342bab1e6181,55accee0-1fdb-4fad-8f17-68a64016a31e,Prospect,AdmissionDone,2026-01-28 22:41:32,Gaurav Suri,1
e1fcb25c-3300-45ae-a290-28fbd8d4de17,2cec86e6-0a21-442f-b0b4-84109ca27df7,ThirdCall,AdmissionDone,2026-07-06 05:45:59,Riya Goel,3
93818640-b491-462e-a1c8-ed180722a2d7,9e16180f-0e12-49c9-81de-11269adb8386,SecondCall,AdmissionDone,2026-06-09 09:48:06,Dayita Ahluwalia,17
316359d2-7a4f-4d68-a14c-6e76aaf065b1,e6142ba9-15cd-4f32-8b8b-d7f19d72fea0,ThirdCall,AdmissionDone,2026-05-25 21:15:55,Gaurav Suri,10
896861e1-8ad3-4f9f-b41c-ffe3bde5da13,ef091327-d39e-480c-a935-e2d69414c9a4,Prospect,AdmissionDone,2025-10-15 21:54:43,Abhimanyu Sandal,6
a2cc05e2-cc65-4c15-8ce3-4f1fffb8e114,06d6666a-3aa2-4765-9fd7-bc750352aa9a,Prospect,AdmissionDone,2026-04-24 07:28:25,Faris Shere,21
fd9cdab8-7625-4c7e-b02a-d53178f21d41,df880dac-0e31-47f1-bc52-94a23d3bd167,ThirdCall,AdmissionDone,2026-05-24 03:29:19,Urvi Saini,8
115b82fc-4fa7-48e1-97da-b22454d6b983,04ced344-7133-4164-9224-bd2f22f2d3c3,Prospect,AdmissionDone,2025-11-04 19:29:53,Dayita Ahluwalia,21
934b8598-279e-4947-9dad-53bfdb612e50,c89c82f2-2827-49ee-af08-6b6bfcde7b41,Interested,AdmissionDone,2025-10-15 12:16:20,Lipika Kala,16
71b89ab9-9d2f-4ab8-ae58-279f3fe6e39f,39ae35da-bcb1-4d54-8ed2-c7066d005f20,ThirdCall,AdmissionDone,2025-09-19 17:48:55,Fitan Wadhwa,10
376f58d0-c8d6-4e8a-bc13-8613bf1ddb38,ee7cafbd-cbb7-4c92-a0cd-0a231ebe9216,ThirdCall,AdmissionDone,2025-12-23 00:00:12,Zilmil Hora,14
57a75384-72fb-4b42-bda1-0d8010e8e8e0,39ef8de0-9450-4dde-abeb-cc984b3577c8,ThirdCall,AdmissionDone,2026-01-04 05:45:49,Tarak Dyal,9
6a4774be-b629-4f11-b35e-aa30ac18a2e5,50015b02-6f20-4f09-b23e-b4f9465cb342,SecondCall,AdmissionDone,2026-08-23 09:28:36,Urvi Saini,8
cfba44ec-c332-4824-9d7d-fd14f196b6a8,973d9546-54c1-42ea-8fbb-67db94b3a89e,Interested,AdmissionDone,2026-06-09 10:45:32,Tarak Dyal,2
2fc0f133-3cf9-42ce-afab-d55b9f9b9ae8,ce750a1d-a66e-466c-a752-d6df51867cdf,,New,2026-04-01 05:30:09,Faris Shere,0
28d3765c-4d11-485c-8fe7-7a0ba252a9f3,2bf73c62-d8d0-47fa-9991-f0b84751f4b0,Interested,AdmissionDone,2026-02-10 17:37:23,Samar Patil,1
2deefede-690f-43fd-89e5-2591a9d70390,f74721a0-2644-4bfa-aba0-a402bfbeb9f8,Interested,AdmissionDone,2025-12-26 23:04:06,Max Shenoy,8
6fde902f-d1a9-46e6-a878-56489f0bb589,13b1dfb5-318d-44a8-b312-a4cca9a0a5d3,SecondCall,AdmissionDone,2026-08-16 07:17:03,Fitan Wadhwa,16
168cf079-29ff-4c25-a219-a56a636f52c5,0e27a819-7d5e-43c6-8050-04926b835c79,ThirdCall,AdmissionDone,2026-03-23 16:25:44,Ishita Dayal,12
74462153-f6ce-49ed-9072-5197e8b16301,3069edb8-affd-458e-8216-b26b5641d81e,Interested,AdmissionDone,2026-01-10 02:22:53,Tarak Prakash,9
6dd4fba3-0742-41de-840e-123cf87d96b2,a64e4036-b365-493e-b9e4-b423c2072fca,SecondCall,AdmissionDone,2026-03-05 05:06:50,Arin Garg,7
3c172f57-da63-4a04-a0b2-ada21fa914ce,a5555ae9-0f86-4fef-abf9-e9c20d04ea83,Interested,AdmissionDone,2026-02-10 21:18:33,Ishita Dayal,18
1e7357e8-c7fe-4da6-b180-9a1de4d76a62,db0747af-23d9-4140-ab69-005732a03e42,SecondCall,AdmissionDone,2026-02-01 23:26:02,Balhaar Choudhary,15
ec91d65f-b65f-42d1-9782-9d7c258784c3,23b79df0-a39f-4623-a8d7-fc4de4f24ae7,CNC,Interested,2025-09-20 20:01:40,Urvi Saini,6
1c5c7b26-313b-47b8-b49f-07f834a135ed,b5685120-811a-4a75-8797-5229d54ce3df,Interested,AdmissionDone,2025-11-29 15:44:25,Ishita Dayal,10
e4e9d46e-7674-4187-b913-e11deb51b041,e5e4cd57-8bb0-451b-9d88-2abd2e4a9a80,Prospect,AdmissionDone,2026-05-28 19:14:05,Riya Goel,14
f22e7be1-0bf0-4215-9634-33d861bbeb3b,a5bd82d4-233e-44e1-ac03-283034e6a996,Interested,AdmissionDone,2025-10-17 08:19:56,Turvi Behl,21
3eca4e51-6ec8-4ce3-a68c-8a7d13725dc4,fe070818-aa5a-4780-91fe-6c5ae1b8d8d6,Interested,AdmissionDone,2026-03-13 13:07:49,Gaurav Suri,17
822fb866-e8db-4434-8fc8-ecdf3fecb215,dc1df9fa-3cc0-447f-97df-a7bb0823ac86,Interested,AdmissionDone,2026-08-14 09:44:25,Dayita Ahluwalia,4
97db9537-c3d6-4fd6-b5b0-5e24e2f9498d,eae5129b-8824-4b75-b6e0-86f7b5985b64,SecondCall,AdmissionDone,2026-08-01 00:30:01,Turvi Behl,9
3dddd204-f988-4c2c-be95-0d5c41cb4da0,84a6c734-4110-4812-858b-0baec6ac74b5,SecondCall,AdmissionDone,2025-10-07 22:57:48,Tarak Prakash,11
6bdccb9b-4b7c-4577-8e57-7c27646de3d5,57cd806b-89de-4786-beb0-dbe796972116,ThirdCall,AdmissionDone,2026-04-18 04:51:23,Gagan Singh,8
99a1aa21-07c7-4025-952d-77e88e9178a0,ce1fdfb6-8011-417c-ba67-7bab90096a72,SecondCall,AdmissionDone,2026-07-04 01:09:29,Abhimanyu Sandal,5
13ae3ea0-2920-43ba-9c17-175b042fbe4a,b20f9f87-8668-4120-99f1-4b8fde25cbc3,FirstCall,RNR,2026-04-28 20:57:32,Fitan Wadhwa,8
04f7b9af-15d2-4d9b-9e48-25b25ae05ecf,1a812608-4379-4674-a761-b42e6064fffb,ThirdCall,AdmissionDone,2025-10-01 09:23:47,Arin Garg,11
